Branch,Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_P,LM_P_2,LM_P_3,Actual,Predict Actual,Spend,Error,ML error estimate
367,55948,6,0.8944444444444445,14.4,0.4166666666666666,0.1353846153846153,0.08,1.6923076923076923,31.310681818181813,4.238984615384615,11.754825547785549,9.36393212121212,8.491021818181816,518.94,1564.467886762234,1526.0344615384613,1045.527886762234,0.45762750842918
222,55953,13,0.8722222222222222,9.0,1.4444444444444444,0.468944099378882,0.1273291925465838,3.682926829268293,19.239536423841056,9.02226708074534,26.57262246113308,11.206164848484844,16.246726060606058,253.29,2869.4887373939564,3248.0161490683226,2616.1987373939564,0.534804780993598
505,55955,21,0.8083333333333333,45.0,0.4666666666666667,0.0426229508196721,0.0295081967213114,1.4444444444444444,75.53923076923077,3.219704918032787,4.599071475409837,1.20980606060606,0.0,274.81,2387.050445115052,1159.0937704918033,2112.240445115052,0.8232347005073062
866,55961,26,0.9222222222222224,27.692307692307693,0.9388888888888888,0.2722063037249284,0.0401146131805157,6.785714285714286,179.57336842105263,48.88100286532951,0.0,0.0370000000000001,1.9477309090909092,5823.620000000001,1062.0191108113243,17597.161031518626,20.32797576181656,0.065154892608045
626,55964,54,0.5361111111111111,90.0,0.6,0.0262008733624454,0.0218340611353711,1.2,385.3200000000001,10.095720524017468,0.0,1.5622000000000011,0.0,651.6,0.0,3634.4593886462885,355.6094896648355,0.10479530338576803
403,55967,22,0.9333333333333332,12.413793103448276,1.772222222222222,0.3304843304843304,0.0854700854700854,3.866666666666666,50.53620689655174,16.701424501424505,12.867295226452558,16.248466666666662,12.56369575757576,3861.07,3095.339819367359,6012.512820512822,276.8667240984746,0.30933944698421595
168,55976,12,0.9638888888888888,3.130434782608696,3.833333333333333,0.9915254237288136,0.327683615819209,3.0258620689655173,32.12219373219373,31.84997175141243,0.0,15.723207272727274,1.9975505454545452,4239.56,6502.278718018198,11465.989830508475,2262.7187180181973,0.12265725981511116
167,55996,22,0.9027777777777778,16.363636363636363,1.3444444444444446,0.2441176470588235,0.0676470588235294,3.608695652173913,21.26783132530121,5.191852941176471,12.241343828877008,8.45021090909091,0.6210021818181823,19469.43,2656.4737572215004,1869.0670588235296,15130.055069598086,0.4155599808511535
162,56008,14,0.9583333333333334,10.909090909090908,1.2833333333333334,0.403954802259887,0.0819209039548022,4.931034482758621,22.835594405594403,9.224548022598867,0.0,4.205267878787877,0.0057066666666665,2021.6800000000003,0.0,3320.837288135592,495.07319871058235,0.2272278143447381
224,56011,7,0.9916666666666668,11.612903225806452,0.6027777777777777,0.2714681440443213,0.0886426592797784,3.0625,14.752551020408164,4.004847645429363,8.957679304960967,6.8689018181818176,4.4301236363636365,1107.8100000000002,269.3809946037848,1441.7451523545708,838.4290053962154,0.4661957852272407
345,56018,4,1.0,1.7647058823529411,2.2666666666666666,5.32409972299169,0.554016620498615,9.61,51.36639438085328,273.47980609418283,367.7364835933855,216.23479999999995,348.5920460606061,50170.5,65993.41492208105,98452.73019390582,15822.91492208105,0.158750546638544
162,56039,8,0.9638888888888888,18.94736842105263,0.4222222222222223,0.1647727272727272,0.0511363636363636,3.222222222222222,23.512413793103445,3.874204545454545,10.616850743801647,9.591562424242426,15.56113454545454,839.5999999999999,1514.4475929434482,1394.7136363636362,674.8475929434483,0.5053198552683008
301,56043,13,0.9722222222222222,6.666666666666667,1.95,0.5139664804469274,0.1536312849162011,3.345454545454545,18.92315217391304,9.72586592178771,13.343134480446926,1.4111978181818188,4.583678787878789,3647.57,1745.8951601526398,3501.3117318435757,589.6968101486032,0.21828196236197095
