Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
89161,3301.888545454545,167.09121212121215,167.09121212121215,41208.3,57247.11121212121,51593.377216041095,36584.45744730978,32887.130000000005,24359.98121212121,18706.24721604109,3697.327447309777,0,0,1
130474,15465.789818181818,167.120484848485,167.120484848485,163615.47999999998,178890.3684848485,173495.02438472406,138769.9981991633,151603.03000000003,27287.33848484847,21891.994384724036,12833.031800836732,0,0,1
70111,18717.70090909091,171.316909090909,171.316909090909,195581.17,212017.9609090909,203110.75481572672,164557.25259850448,120208.32,91809.6409090909,82902.43481572671,44348.93259850447,0,0,1
170244,1706.9465454545457,172.8898787878788,172.8898787878788,25021.26,42138.49787878787,41873.639164461085,25662.089446709797,17387.32,24751.177878787872,24486.319164461085,8274.769446709797,0,0,1
94845,2394.3645454545454,176.66454545454545,176.66454545454545,33061.600000000006,49560.00454545454,50475.12640849596,32614.73098718583,35409.98,14150.024545454537,15065.146408495959,2795.2490128141726,0,0,1
53062,22623.36363636364,185.70496969696975,185.70496969696975,236188.15,253160.85696969696,254780.25075793255,203001.38964022102,159929.25,93231.60696969696,94851.00075793255,43072.13964022102,0,0,1
66246,1771.369090909091,189.0457575757576,189.0457575757576,26220.75,45125.32575757576,41720.244669406,26117.850248189563,21418.47,23706.85575757576,20301.774669405997,4699.380248189562,0,0,1
58132,6727.399818181819,189.1018181818182,189.1018181818182,76143.08,94693.76181818184,92855.4537771724,68367.38340424761,90959.99,3733.7718181818345,1895.4637771723937,22592.606595752397,0,1,0
9791,10502.652,196.51933333333332,196.51933333333332,114039.89,133521.82333333333,137073.38260822633,102625.46350881775,55070.69,78451.13333333333,82002.69260822632,47554.77350881774,0,0,1
34444,9651.645818181818,197.61181818181828,197.61181818181828,106575.0,125170.17181818184,123838.82601253646,94046.02622062093,109121.49,16048.681818181838,14717.336012536456,15075.463779379075,0,1,0
37656,5041.399454545454,207.97078787878797,207.97078787878797,60623.0,80569.7587878788,80829.80865952017,56799.643410131284,59989.8,20579.9587878788,20840.008659520172,3190.1565898687186,0,0,1
70462,4450.132000000001,212.692,212.692,54206.7,75341.66,73578.9866066312,51094.81733452728,29596.99,45744.67,43981.99660663119,21497.82733452728,0,0,1
78082,2802.8085454545453,215.96854545454548,215.96854545454548,37746.67,59343.52454545455,60411.51754373243,38659.127373196665,42986.22,16357.30454545455,17425.297543732428,4327.092626803336,0,0,1
101909,6730.040727272727,226.73606060606065,226.73606060606065,78374.51,100177.13606060603,103470.8509565822,73627.31473598472,80267.61,19909.526060606033,23203.2409565822,6640.29526401528,0,0,1
44509,11153.15909090909,226.9364242424244,226.9364242424244,122516.68,144437.37242424244,146353.52939452886,110041.21725911758,88283.04000000001,56154.33242424243,58070.48939452885,21758.17725911757,0,0,1
121952,2706.414181818182,239.8715151515152,239.8715151515152,38191.98,61845.51151515152,55478.65031387287,36854.80431372452,5448.03,56397.48151515152,50030.620313872874,31406.77431372452,0,0,1
126649,2474.7089090909085,244.75157575757572,244.75157575757572,35977.03,60236.06757575757,62537.01078512692,38755.42502923444,38748.02,21488.04757575757,23788.990785126924,7.405029234440008,0,0,1
115729,1595.4232727272724,245.8766060606061,245.8766060606061,27121.78,51606.34060606061,51358.79229020947,30408.03870964091,37624.68000000001,13981.6606060606,13734.112290209465,7216.641290359097,0,0,1
55047,7224.376909090909,255.7515757575758,255.7515757575758,83752.59,109327.7475757576,105195.26911569426,76647.11072581548,101050.75,8276.997575757603,4144.51911569426,24403.63927418452,0,1,0
58290,4282.536181818181,266.0175151515152,266.0175151515152,55053.47,81397.90151515152,81699.55550193337,54747.18001944501,49788.15,31609.751515151518,31911.40550193337,4959.03001944501,0,0,1
