Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
105368,5371.715636363636,-385.15236363636353,385.15236363636353,36385.3,3769.8538181818217,3503.163742388727,37217.704938179355,28378.14,24608.286181818177,24874.976257611273,8839.564938179356,0,0,1
55016,11738.823272727272,-398.5573939393941,398.5573939393941,99624.04,59597.41060606059,58257.10755567977,72519.40040971276,82864.48000000001,23267.06939393942,24607.372444320237,10345.079590287249,0,0,1
125640,4973.306909090909,399.6002424242424,399.6002424242424,67758.49,107675.10424242423,106732.30103111712,37015.16394157334,64951.81,42723.294242424236,41780.491031117126,27936.64605842666,0,0,1
79663,5497.743454545454,-404.3372121212121,404.3372121212121,37086.71000000001,3391.4620606060616,3363.3492648838346,37139.62702077668,40573.19,37181.72793939394,37209.840735116166,3433.562979223323,0,0,1
57780,9227.154,-405.21199999999993,405.21199999999993,74423.75,33515.8,34044.66815417099,70016.86902776752,35815.36,2299.5599999999977,1770.6918458290093,34201.50902776752,0,1,0
54579,11306.02090909091,-412.5757575757576,412.5757575757576,94976.27,53236.72424242424,55875.657587703536,95035.61396769263,15121.330000000002,38115.39424242424,40754.327587703534,79914.28396769262,1,0,0
29040,8991.001090909092,-413.2862424242424,413.2862424242424,71312.13,29983.50575757578,30060.217132873266,59502.41357604174,46746.85,16763.34424242422,16686.632867126733,12755.563576041743,0,0,1
36086,2525.098545454546,413.9092121212121,413.9092121212121,43929.51,85267.82121212121,81735.79282091976,27573.040073701057,39456.47,45811.35121212121,42279.322820919755,11883.429926298944,0,0,1
1575,6584.111090909091,-424.6242424242425,424.6242424242425,46996.73,7657.848363636361,7459.302371293969,54020.00164633995,30784.19,23126.34163636364,23324.88762870603,23235.811646339953,1,0,0
61828,6417.036545454546,-425.4087878787878,425.4087878787878,45198.350000000006,6596.560181818192,6011.032317641551,46060.78730006087,153739.24,147142.6798181818,147728.20768235845,107678.45269993912,0,0,1
11908,6552.793454545455,-428.35721212121217,428.35721212121217,46422.25,7189.969818181815,7086.975405936525,49503.995949545715,122578.91,115388.9401818182,115491.93459406348,73074.91405045429,0,0,1
52773,2686.472363636364,439.383696969697,439.383696969697,46646.09,90575.35969696972,87958.42414927328,40865.2686752842,53338.08,37237.27969696972,34620.34414927328,12472.811324715803,0,0,1
55292,1907.93290909091,486.6135757575757,486.6135757575757,40976.94,89638.29757575756,91510.28686387088,33533.773671477415,21832.33,67805.96757575756,69677.95686387087,11701.443671477413,0,0,1
63503,12068.251636363637,-524.4190303030302,524.4190303030302,97988.11,44641.75696969697,45423.24855338543,100839.90252073538,76255.47,31613.713030303028,30832.221446614574,24584.432520735383,0,0,1
62901,1406.8156363636372,542.3809696969696,542.3809696969696,38475.3,92713.39696969694,67679.69311393982,55089.3793063527,6789.099999999999,85924.29696969694,60890.59311393982,48300.2793063527,0,0,1
6173,37685.80254545454,561.7998787878787,561.7998787878787,405693.34,458319.0078787878,454106.7484639106,354846.5034446905,255331.41000000003,202987.59787878778,198775.33846391056,99515.09344469046,0,0,1
91068,7392.830727272727,-583.1666060606061,583.1666060606061,47888.05,2933.99418181818,3103.364699039252,38220.84444551336,21430.56,18496.56581818182,18327.19530096075,16790.284445513356,0,0,1
45427,26494.47072727273,-592.0999393939393,592.0999393939393,238300.21,179090.21606060606,191747.535729668,164487.4434487744,148155.78,30934.436060606065,43591.75572966799,16331.663448774401,0,0,1
70627,16096.273272727274,-612.335393939394,612.335393939394,133576.02000000002,72174.10060606062,69328.26628693065,117217.6437505101,150419.47999999998,78245.37939393937,81091.21371306933,33201.836249489876,0,0,1
